GRK_AGIA1_0_1|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|32.05
GRK_AGIA1_0_2|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|32.05
GRK_AGIA1_0_3|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|32.05
GRK_AGIA1_0_4|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|32.05
GRK_AGIA39_1_1|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|30.15
GRK_AGIA39_1_2|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|30.15
GRK_AGIA39_1_3|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|30.15
GRK_AGIA39_1_4|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|30.15
GRK_AGIA39_1_5|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|30.15
GRK_AGIA39_1_6|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|30.15
GRK_AGIA39_1_7|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|30.15
GRK_AGIA81_2_1|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|32.9
GRK_AGIA81_2_2|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|32.9
GRK_AGIA81_2_3|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|32.9
GRK_AGIA81_2_4|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|32.9
GRK_AGIA81_2_5|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|32.9
GRK_AGIO123_3_1|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|24.46773
GRK_AGIO2_0_1|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|35.5
GRK_AGIO40_1_1|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|34.5
GRK_AGIO40_1_2|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|34.5
GRK_AGIO82_2_1|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|28.7
GRK_AGIO82_2_2|2|4790|5|27.9|587|1500|26|2000|14000|300000|4|4|4|28.7
