VE_REF annual_fishing_credits_per_vid
GRK_AGIA1_0_1 247523.590635867
GRK_AGIA1_0_2 247523.590635867
GRK_AGIA1_0_3 247523.590635867
GRK_AGIA1_0_4 247523.590635867
GRK_AGIA39_1_1 0.00114206959233489
GRK_AGIA39_1_2 0.00114206959233489
GRK_AGIA39_1_3 0.00114206959233489
GRK_AGIA39_1_4 0.00114206959233489
GRK_AGIA39_1_5 0.00114206959233489
GRK_AGIA39_1_6 0.00114206959233489
GRK_AGIA39_1_7 0.00114206959233489
GRK_AGIA81_2_1 0.00114213548772768
GRK_AGIA81_2_2 0.00114213548772768
GRK_AGIA81_2_3 0.00114213548772768
GRK_AGIA81_2_4 0.00114213548772768
GRK_AGIA81_2_5 0.00114213548772768
GRK_AGIO123_3_1 0.00114214905740173
GRK_AGIO2_0_1 0.00114216223113512
GRK_AGIO40_1_1 0.00114218808405988
GRK_AGIO40_1_2 0.00114218808405988
GRK_AGIO82_2_1 0.00114221443271949
GRK_AGIO82_2_2 0.00114221443271949
GRK_AIGI124_3_1 0.00114222810236271
GRK_AIGI140_4_1 0.00114224127700779
GRK_AIGI3_0_1 0.00114229348281276
GRK_AIGI3_0_2 0.00114229348281276
GRK_AIGI3_0_3 0.00114229348281276
GRK_AIGI3_0_4 0.00114229348281276
GRK_AIGI41_1_1 0.00114237253973329
GRK_AIGI41_1_2 0.00114237253973329
GRK_AIGI41_1_3 0.00114237253973329
GRK_AIGI41_1_4 0.00114237253973329
GRK_AIGI41_1_5 0.00114237253973329
GRK_AIGI41_1_6 0.00114237253973329
GRK_AIGI83_2_1 0.00114242524677876
GRK_AIGI83_2_2 0.00114242524677876
GRK_AIGI83_2_3 0.00114242524677876
GRK_AIGI83_2_4 0.00114242524677876
GRK_AMFI4_0_1 0.00114250431281867
GRK_AMFI4_0_2 0.00114250431281867
GRK_AMFI4_0_3 0.00114250431281867
GRK_AMFI4_0_4 0.00114250431281867
GRK_AMFI4_0_5 0.00114250431281867
GRK_AMFI4_0_6 0.00114250431281867
GRK_AMFI42_1_1 0.00114264951080073
GRK_AMFI42_1_2 0.00114264951080073
GRK_AMFI42_1_3 0.00114264951080073
GRK_AMFI42_1_4 0.00114264951080073
GRK_AMFI42_1_5 0.00114264951080073
GRK_AMFI42_1_6 0.00114264951080073
GRK_AMFI42_1_7 0.00114264951080073
GRK_AMFI42_1_8 0.00114264951080073
GRK_AMFI42_1_9 0.00114264951080073
GRK_AMFI42_1_10 0.00114264951080073
GRK_AMFI42_1_11 0.00114264951080073
GRK_AMFI84_2_1 0.00114268899017559
GRK_AMFI84_2_2 0.00114268899017559
GRK_AMFI84_2_3 0.00114268899017559
GRK_ANTY141_4_1 0.00114270250037759
GRK_ANTY43_1_1 0.00114282036165452
GRK_ANTY43_1_2 0.00114282036165452
GRK_ANTY43_1_3 0.00114282036165452
GRK_ANTY43_1_4 0.00114282036165452
GRK_ANTY43_1_5 0.00114282036165452
GRK_ANTY43_1_6 0.00114282036165452
GRK_ANTY43_1_7 0.00114282036165452
GRK_ANTY43_1_8 0.00114282036165452
GRK_ANTY43_1_9 0.00114282036165452
GRK_ANTY5_0_1 0.00114287336460367
GRK_ANTY5_0_2 0.00114287336460367
GRK_ANTY5_0_3 0.00114287336460367
GRK_ANTY5_0_4 0.00114287336460367
GRK_ANTY85_2_1 0.00114292609475626
GRK_ANTY85_2_2 0.00114292609475626
GRK_ANTY85_2_3 0.00114292609475626
GRK_ANTY85_2_4 0.00114292609475626
GRK_ARGO142_4_1 0.00114293977291636
GRK_ARGO44_1_1 0.00114300529380886
GRK_ARGO44_1_2 0.00114300529380886
GRK_ARGO44_1_3 0.00114300529380886
GRK_ARGO44_1_4 0.00114300529380886
GRK_ARGO44_1_5 0.00114300529380886
GRK_ARGO6_0_1 0.00114309755711127
GRK_ARGO6_0_2 0.00114309755711127
GRK_ARGO6_0_3 0.00114309755711127
GRK_ARGO6_0_4 0.00114309755711127
GRK_ARGO6_0_5 0.00114309755711127
GRK_ARGO6_0_6 0.00114309755711127
GRK_ARGO6_0_7 0.00114309755711127
GRK_ARGO86_2_1 0.00114317659888582
GRK_ARGO86_2_2 0.00114317659888582
GRK_ARGO86_2_3 0.00114317659888582
GRK_ARGO86_2_4 0.00114317659888582
GRK_ARGO86_2_5 0.00114317659888582
GRK_ARGO86_2_6 0.00114317659888582
GRK_ASTA125_3_1 0.00114320297034906
GRK_ASTA125_3_2 0.00114320297034906
GRK_ASTA143_4_1 0.00114321665182268
GRK_ASTA45_1_1 0.00114326890220689
GRK_ASTA45_1_2 0.00114326890220689
GRK_ASTA45_1_3 0.00114326890220689
GRK_ASTA45_1_4 0.00114326890220689
GRK_ASTA7_0_1 0.00114328258446965
GRK_ASTA87_2_1 0.00114334812501435
GRK_ASTA87_2_2 0.00114334812501435
GRK_ASTA87_2_3 0.00114334812501435
GRK_ASTA87_2_4 0.00114334812501435
GRK_ASTA87_2_5 0.00114334812501435
GRK_DOMV46_1_1 0.00114336170909571
GRK_DOMV8_0_1 0.00114337489681608
GRK_DOMV88_2_1 0.00114338808468863
GRK_FISK126_3_1 0.00114340127271316
GRK_FISK144_4_1 0.00114341446088995
GRK_FISK47_1_1 0.00114342764921871
GRK_FISK89_2_1 0.0011434408376996
GRK_FISK9_0_1 0.00114345402633264
GRK_GAIO10_0_1 0.00114346721511783
GRK_GAIO127_3_1 0.00114348040405509
GRK_GAIO145_4_1 0.00114349359314447
GRK_GAIO48_1_1 0.00114357223738487
GRK_GAIO48_1_2 0.00114357223738487
GRK_GAIO48_1_3 0.00114357223738487
GRK_GAIO48_1_4 0.00114357223738487
GRK_GAIO48_1_5 0.00114357223738487
GRK_GAIO48_1_6 0.00114357223738487
GRK_GAIO90_2_1 0.00114361197398409
GRK_GAIO90_2_2 0.00114361197398409
GRK_GAIO90_2_3 0.00114361197398409
GRK_GALA11_0_1 0.00114367786393437
GRK_GALA11_0_2 0.00114367786393437
GRK_GALA11_0_3 0.00114367786393437
GRK_GALA11_0_4 0.00114367786393437
GRK_GALA11_0_5 0.00114367786393437
GRK_GALA146_4_1 0.0011436914519334
GRK_GALA49_1_1 0.00114371733947211
GRK_GALA49_1_2 0.00114371733947211
GRK_GALA91_2_1 0.00114377010856426
GRK_GALA91_2_2 0.00114377010856426
GRK_GALA91_2_3 0.00114377010856426
GRK_GALA91_2_4 0.00114377010856426
GRK_GUQE12_0_1 0.00114383617290985
GRK_GUQE12_0_2 0.00114383617290985
GRK_GUQE12_0_3 0.00114383617290985
GRK_GUQE12_0_4 0.00114383617290985
GRK_GUQE12_0_5 0.00114383617290985
GRK_GUQE128_3_1 0.00114384976278973
GRK_GUQE50_1_1 0.00114413981619787
GRK_GUQE50_1_2 0.00114413981619787
GRK_GUQE50_1_3 0.00114413981619787
