SHIP1|1000000|2006|Greece|Tanker|1|250|30000|45|60000|0|200|9|0.1|0.2|0|20|10|1
SHIP2|2000000|2006|Greece|Tanker|1|250|30000|45|60000|0|200|9|0.1|0.2|0|20|10|1
SHIP3|3000000|2006|Greece|Tanker|1|250|30000|45|60000|0|200|9|0.1|0.2|0|20|10|1
SHIP4|4000000|2006|Greece|Tanker|1|250|30000|45|60000|0|200|9|0.1|0.2|0|20|10|1
SHIP5|5000000|2006|Greece|Tanker|1|250|30000|45|60000|0|200|9|0.1|0.2|0|20|10|1
SHIP6|6000000|2006|Greece|Tanker|1|250|30000|45|60000|0|200|9|0.1|0.2|0|20|10|1
SHIP7|7000000|2006|Greece|Tanker|1|250|30000|45|60000|0|200|9|0.1|0.2|0|20|10|2
SHIP8|8000000|2006|Greece|Tanker|1|250|30000|45|60000|0|200|9|0.1|0.2|0|20|10|2
SHIP9|9000000|2006|Greece|Tanker|1|250|30000|45|60000|0|200|9|0.1|0.2|0|20|10|2
SHIP10|1000000|2008|Panama|Tanker|1|250|30000|45|60000|0|200|9|0.1|0.2|0|20|10|2
SHIP11|1100000|2010|Sweden|Containership|2|135|30000|21|6100|500|200|9|0.1|0.2|0|20|10|2
SHIP12|1200000|2010|Sweden|Containership|2|135|30000|21|6100|500|200|9|0.1|0.2|0|20|10|2
SHIP13|1300000|2010|Sweden|Containership|2|135|30000|21|6100|500|200|9|0.1|0.2|0|20|10|2
SHIP14|1400000|2010|Sweden|Containership|2|135|30000|21|6100|500|200|9|0.1|0.2|0|20|10|2
SHIP15|1500000|2010|Sweden|Containership|2|135|30000|21|6100|500|200|9|0.1|0.2|0|20|10|3
SHIP16|1600000|2010|Sweden|Containership|2|135|30000|21|6100|500|200|9|0.1|0.2|0|20|10|3
SHIP17|1700000|2010|Sweden|Containership|2|135|30000|21|6100|500|200|9|0.1|0.2|0|20|10|3
SHIP18|1800000|2002|Denmark|PassagersVessel|3|155|30000|22|5580|0|200|9|0.1|0.2|0|20|10|3
SHIP19|1900000|2002|Denmark|PassagersVessel|3|155|30000|22|5580|0|200|9|0.1|0.2|0|20|10|3
SHIP20|2000000|2002|Denmark|PassagersVessel|3|155|30000|22|5580|0|200|9|0.1|0.2|0|20|10|3
SHIP21|2000000|2000|Germany|UnspecifiedVessel|4|100|30000|20|4000|0|200|9|0.1|0.2|0|20|10|3
